city,breakfast_basket,total_basket,breakfast_frequency,total_frequency,breakfast_percentage_users_over_3_orders,top_10_users_contribution,top_10_users_contribution_percentage
Βόλος,5.1276455904539242,8.0841621844731151,3.7324664687212041,4.4304817418138178,0.038215075957010389,0.00013070712384286655,0.013070712384286655
Λάρισα,5.4042317448816082,8.9069520737434438,3.0957789931285933,3.8456628033321261,0.043412971436384708,0.00011929064161008711,0.011929064161008711
Ξάνθη,4.886915994347877,7.232082548936412,4.2707806112517037,5.35396120082367,0.083137640865324186,0.00020499813198631447,0.020499813198631447
Ιωάννινα,5.7552412738146641,9.1179663685047956,3.1147848686110309,4.0313148686317541,0.044972348666055886,0.00014888803150639487,0.014888803150639486
Ρόδος,6.2483242962620675,10.312610486891534,3.7145918148703663,4.5477364410578218,0.079592710839305039,0.00019976856143317425,0.019976856143317425
